invoice_id,invoice_number,status,commitment,vendor,amount,bill_description
3341,002730,MOVED,SC-000199,DIAMOND,10641.6,"SC-2603-0019 PayApp4 Goodwill Bloomington"
3342,002731,MOVED,SC-000227,GARDOOR,1634.2,"SC-2603-0013 PayApp2 Goodwill Bloomington"
3343,002732,MOVED,SC-000227,GARDOOR,656,"SC-2603-0013 PayApp1 Goodwill Bloomington"
3345,002734,MOVED,SC-000302,CENTRALSEC,1060.79,"SC-2603-0028 Goodwill Bloomington"
3346,002735,MOVED,SC-000232,EURO,3384.9,"SC-2603-0015 PayApp3 Goodwill Bloomington - Retainage"
3347,002736,MOVED,SC-000232,EURO,1174.9,"SC-2603-0015 PayApp2 Goodwill Bloomington - Retainage"
3348,002737,MOVED,SC-000232,EURO,3000,"SC-2603-0015 PayApp1 Goodwill Bloomington - Retainage"
3349,002738,MOVED,SC-000232,EURO,200,"SC-2603-0015 PayApp4 Goodwill Bloomington - Retainage"
3356,002748,MOVED,SC-000199,DIAMOND,1182.4,"SC-2603-0019 PayApp4 Goodwill Bloomington - Retainage"
3357,002749,MOVED,SC-000199,DIAMOND,3763.15,"SC-2603-0019 PayApp3 Goodwill Bloomington - Retainage"
3358,002750,MOVED,SC-000199,DIAMOND,148.5,"SC-2603-0019 PayApp2 Goodwill Bloomington - Retainage"
3359,002751,MOVED,SC-000199,DIAMOND,4636.35,"SC-2603-0019 PayApp1 Goodwill Bloomington - Retainage"
3360,002752,MOVED,SC-000225,QUALITY,1305,"SC-2603-0012 Goodwill Bloomington PayApp2"
3372,002766,MOVED,SC-000302,CENTRALSEC,117.87,"SC-2603-0028 Goodwill Bloomington - Retainage"
3377,002787,MOVED,SC-000225,QUALITY,145,"SC-2603-0012 Goodwill Bloomington PayApp2"
3424,002860,MOVED,SC-000223,CIH,3051.76,"SC-2603-0016 Goodwill Bloomington"
3433,002891,MOVED,SC-000224,BLAKLEY,3386.91,"SC-2603-0017 PayApp3 Goodwill Bloomington"
3434,002892,MOVED,SC-000224,BLAKLEY,5820,"SC-2603-0017 PayApp2 Goodwill Bloomington"
3435,002893,MOVED,SC-000290,UNIEX,15747.34,"SC-2603-0024 Goodwill Bloomington"
