Item No,Sub Job,Cost Code,Cost Type,Description Of Work,Scheduled Value,Work Completed: From Previous Application,Work Completed: This Period,Materials Presently Stored,Total Completed and Stored To Date,%,Balance To Finish,From Previous Application: Work Retainage $,From Previous Application: Materials Retainage $,From Previous Application: Total $,Retained This Period: Work Retainage %,Retained This Period: Work Retainage $,Retained This Period: Materials Retainage %,Retained This Period: Materials Retainage $,Released This Period: Work Retainage $,Released This Period: Materials Retainage $,Currently Retained: Work Retainage $,Currently Retained: Materials Retainage $,Total $
73,"",02-4116,S,Demo of wall through roof at vestibule.,4500.0,0.0,0.0,0.0,0.0,0.00%,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,"",07-1000,S,Patching roof where parapet wall was removed at vestibule.,7000.0,0.0,0.0,0.0,0.0,0.00%,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"",55-0100,X,Contingency,-11500.0,0.0,0.0,0.0,0.0,-0.00%,-11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"",09-2116,S,Cost to supply & install blocking for added TVs.,2200.0,2200.0,0.0,0.0,2200.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"",26-1000,S,Cost for power & data for added TVs and relocated smart displays.,7500.0,7500.0,0.0,0.0,7500.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,"","","",Expedited state permit submission.,3500.0,0.0,0.0,0.0,0.0,0.00%,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"",55-0100,X,Use of owner contingency for expedited state permit fee.,-3500.0,0.0,0.0,0.0,0.0,-0.00%,-3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"",01-7423,S,Clean exterior of windows.,200.0,0.0,200.0,0.0,200.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"",12-2000,S,Pole for lowering shades,35.0,0.0,35.0,0.0,35.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"",09-6800,S,Add LVT to storage room.,1950.0,0.0,1950.0,0.0,1950.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"",12-3000,S,Add locks for reception desk cabinet. Drill holes and add grommets.,255.0,0.0,255.0,0.0,255.0,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"",08-1429,M,Add push button privacy locks to classroom doors.,1075.35,0.0,1075.35,0.0,1075.35,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"",08-1429,M,Add electrified exit devices for openings E03 and E04. ,1016.5,0.0,1016.5,0.0,1016.5,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"",08-1429,M,Credit for removing cores & keying from scope of work.,-1043.25,0.0,-1043.25,0.0,-1043.25,100.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
