table,id,parent_id,project_id,contract_number,parent_title,parent_status,line_number,budget_code,normalized_budget_code,description,amount,reason,typed_candidate_ids,typed_candidate_labels,other_candidate_ids,other_candidate_labels,recommended_action
"subcontract_sov_items","d1204caf-31e6-467e-b54b-03139353cf9a","a0da955d-32e9-475d-8a1c-b85b725cbb94","67","SC-002","SC Smoke 100","Terminated","1","","","","100000","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"subcontract_sov_items","eef0c44d-a5f2-4991-aba5-e934827b4fda","a0ddee7b-34ce-454e-9d80-ae4073c3e90f","754","SC-8189-0016","","Approved","1","","","SC-8189-0016","12228","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"subcontract_sov_items","be0186ed-1f17-4167-a2e0-1208f1c5c3d6","a81228ba-5100-4608-a3c5-a4577198ae24","754","SC-8189-0010","Doors, Frames & Hardware","Approved","1","","","Doors, Frames & Hardware","37408","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"subcontract_sov_items","74e9f553-af19-4f0c-976c-fbb32e3c018f","ab461278-bc2c-42f7-b4e3-c39a2da6dd92","25125","SC-000298","SC-000298","Complete","1","024113","024113","Cost of Contracts- Subco","71899.18","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","42f669e7-f36b-4deb-afe1-f4fe1957a4a3","af7f6b15-f3f0-43ea-818a-7bcba2f12ebc","24109","SC-000152","SC-000152","Approved","2","047200","047200","Cost of Contracts- Subco","63600","no_project_budget_code_match","","","","","Create/activate the missing project budget code or mark the row intentionally unmapped."
"subcontract_sov_items","5f8a575a-58d5-4f02-a044-c79bc2c095c8","aff2df5b-aa75-4604-9ae8-f3e9c805d668","767","SC-1773771075150447","Validation Test SC","Complete","1","","","","0","blank_code_zero_amount","","","","","Can remain unmapped if row is intentionally zero-value, otherwise assign a project budget code."
"subcontract_sov_items","15ffb85a-64de-4e0c-97cd-1658c063d0a7","b3560d8c-3a73-4a41-bcbe-2c49eb4b6e24","43","SC-000278","Westfield Collective Final Cleaning","Complete","1","090500","090500","Cost of Contracts- Subco","3850","ambiguous_typed_matches","a6eef7d0-bea2-4b5f-8d63-71d2bee2afe3;6185e334-05f8-40bf-ad50-bed53161d185","09-0500.S;09-0500.L","e4c6e093-a191-48af-af37-203d5f055e2e","09-0500","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","2b7ebfdc-3dab-4661-bbb3-10ce68b32ed7","b3560d8c-3a73-4a41-bcbe-2c49eb4b6e24","43","SC-000278","Westfield Collective Final Cleaning","Complete","2","090500","090500","Cost of Contracts- Subco","6175","ambiguous_typed_matches","a6eef7d0-bea2-4b5f-8d63-71d2bee2afe3;6185e334-05f8-40bf-ad50-bed53161d185","09-0500.S;09-0500.L","e4c6e093-a191-48af-af37-203d5f055e2e","09-0500","Manual selection required: choose the specific cost type candidate."
"subcontract_sov_items","f029683f-8d3f-4c65-9150-80f46c467b24","b4f16769-7b18-4c2d-b866-e37971f50ec9","754","SC-8189-0002","HVAC","Approved","1","","","HVAC","315578.5","blank_code_nonzero_amount","","","","","Source data repair required: assign a project budget code before this financial amount can be trusted."
"subcontract_sov_items","9f82175f-13b1-49b1-aea9-17682bffbb9d","b8b74f63-df0d-4d5b-93d1-c480bb137d0f","31","SC-000242","SC-000242","Approved","1","261000","261000","Cost of Contracts- Subco","353505","ambiguous_typed_matches","1235eae8-aa0d-4588-8a09-704b98f0861d;470a7b44-1a25-4e42-a3f3-1c52bfa630c8","26-1000.L;26-1000.S","cccd6650-7148-49f7-9254-49ada13fdd76","26-1000","Manual selection required: choose the specific cost type candidate."
