Reference Nbr.,Status,Class ID,Customer ID,Project ID,Description,Revenue Change Nbr.,Change Date,Approval Date,Customer Name,Revenue Budget Change Total,Gross Margin Amount,Created On
001755,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0128 - Originally only 1 feminine hygiene waste basket per bathroom was purchased. There must be 1 feminine hygiene waste basket per stall_x000A_8 additional feminine hygiene waste baskets are needed_x000A_SND 10-0852_x000A_Install by others,0363,2/4/2026,2/4/2026,CRAVING CREPES LLC,0.00,0.00,2/20/2026
001715,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0129 - Thoroughly clean out ALL control joints on the FIRST Floor, including removal of all dirt, debris, and existing contaminants. Once joints are properly prepared, furnish and install a continuous bead of caulk in each control joint, including",0326,2/5/2026,2/5/2026,CRAVING CREPES LLC,0.00,0.00,2/14/2026
001746,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0130 - Originally Andrew thought the Air Curtain installation was doubled up with DEEM and C&S_x000A_Turns out C&S was to install the air curtains and DEEM was to wire them up. _x000A_Andrew wrote a deductive CO to C&S thinking DEEM was doing install and wiri,0356,2/17/2026,2/17/2026,CRAVING CREPES LLC,0.00,0.00,2/17/2026
001747,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0131 - Executive Elevator Provided a punch list of requirements by the state in order to pass the elevator inspection._x000A_In order to pass the inspection C&S HVAC installed_x000A_- 1 Greenheck Sp-A200 exhaust fan_x000A_- 1 Line voltage thermostat_x000A_- 2 fire damper,0357,2/17/2026,2/17/2026,CRAVING CREPES LLC,0.00,0.00,2/17/2026
001751,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0132 - Price includes _x000A_- Metal Stud Framing (80"" x 30"")_x000A_- Installing tile backer board (installed above countertop to top of chase wall)_x000A_- Install two toned black and white tile (tile install by others)_x000A_- Countertop that wraps around all four side",0359,2/19/2026,2/19/2026,CRAVING CREPES LLC,0.00,0.00,2/20/2026
001750,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0133 - Price for Superior to install and finish a 90 min fire rated hard lid ceiling in the elevator shaft wall. _x000A_Includes supplying materials and labor to complete the scope_x000A_Includes finishing and fire taping _x000A__x000A_Also includes price to install the,0358,2/19/2026,2/19/2026,CRAVING CREPES LLC,0.00,0.00,2/20/2026
001754,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0134 - Install end caps at all four C-04 booths to prevent items from falling through mezz rail_x000A_End Caps to match design provided by Mark on 02/16. Email is attached in this CO_x000A_Caps to be flush with 6"" back wall of 2nd floor booth casework _x000A_Fabric",0362,2/20/2026,2/20/2026,CRAVING CREPES LLC,0.00,0.00,2/20/2026
001753,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0135 - Price includes _x000A_- Counter top that wraps around all four sides of the stud wall with 2' - 1/2"" of over hang_x000A_- Same Polished 3CM Black Marble  Granite Countertops as the rest of the project_x000A_- Field measurement / template approval required_x000A_-",0361,2/20/2026,2/20/2026,CRAVING CREPES LLC,0.00,0.00,2/20/2026
001752,Closed,DEFAULT,CRAVING,24-115,CCO-2403-0136 - Cost to refurbish (2) owner provided trash receptacle countertops and backsplashes _x000A_Polish and router countertops and backsplashes to provide a smooth finish _x000A_Current countertops have a dull appearance and have chips . Polish and router to,0360,2/20/2026,2/20/2026,CRAVING CREPES LLC,0.00,0.00,2/20/2026
001772,Closed,DEFAULT,CRAVING,24-115,"CCO-2403-0137 - Price to include_x000A_- All materials, equipment, fabrication, and install of 2 cabinets to be installed under the second-floor bar island countertops_x000A_- Two casework cabinets black laminate with steel bullet legs, 75"" wide, 39"" tall, 14"" deep, w",0377,2/25/2026,2/25/2026,CRAVING CREPES LLC,0.00,0.00,2/27/2026
