Type,Reference Nbr.,Status,Payment Date,Payment Period,Customer,Customer Name,Description,Payment Ref.,Payment Amount,Currency,Cash Account,Payment Method,Created On
Payment,000228,Voided,11/3/2025,11-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0016 - Goodwill Bloomington PayApp008,3048101288TC,"266,066.67",USD,CHECKING,CHECK,11/3/2025
Credit Memo,000425,Closed,10/31/2025,10-2025,ULTA,Ulta Inc.,Invoice 001,,"2,000,000.00",USD,,,11/21/2025
Credit Memo,000424,Closed,10/31/2025,10-2025,ULTA,Ulta Inc.,Reverse Invoice 001,,"6,000,000.00",USD,,,11/21/2025
Payment,000230,Closed,10/31/2025,10-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0016 - Goodwill Bloomington PayApp008,3048101288TC,"266,066.67",USD,CHECKING,CHECK,11/3/2025
Payment,000229,Closed,10/31/2025,10-2025,RADIAL,"Radial, Inc",PO#4500060771 - Radial Brownsburg Indy,3044362079TC,"11,863.12",USD,CHECKING,CHECK,11/3/2025
Credit Memo,000413,Closed,10/31/2025,10-2025,ULTA,Ulta Inc.,Invoice 001,,"15,000,000.00",USD,,,10/31/2025
Credit Memo,000397,Closed,10/31/2025,10-2025,ULTA,Ulta Inc.,Invoice 001,,"15,000,000.00",USD,,,10/31/2025
Payment,000227,Closed,10/30/2025,10-2025,CRAVING,CRAVING CREPES LLC,Payment for Craving Crepes - Westfield Collective,1134031303FF,"590,376.67",USD,CHECKING,CHECK,10/31/2025
Payment,000226,Closed,10/30/2025,10-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp005,3030267526TC,"187,986.75",USD,CHECKING,CHECK,10/31/2025
Payment,000225,Closed,10/28/2025,10-2025,APPLIED,"Applied Engineering Services, Inc.",PayApp4 -  Applied Engineering,18546,"153,638.48",USD,CHECKING,CHECK,10/29/2025
Payment,000224,Closed,10/24/2025,10-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Goodwill Curb Cut PayApp1,2974178574TC,"38,228.60",USD,CHECKING,CHECK,10/27/2025
Payment,000223,Closed,10/17/2025,10-2025,CART.COM,"Cart.com, Inc",Memphis Cold Storage Phase2,2905783206TC,"111,573.00",USD,CHECKING,CHECK,10/27/2025
Payment,000222,Closed,10/16/2025,10-2025,CORAMDEO,Coram Deo Academy,Coram Deo Academy PayApp2,5561,"39,061.72",USD,CHECKING,CHECK,10/17/2025
Payment,000221,Closed,10/14/2025,10-2025,NIEMANN,"Niemann Holdings, LLC",PayApp4 - Niemann Foods,2841,"100,815.27",USD,CHECKING,CHECK,10/15/2025
Payment,000220,Closed,10/14/2025,10-2025,GPC,NAPA AUTO PARTS,PayApp1 GPC Hai Robotic,1309535,"197,239.40",USD,CHECKING,CHECK,10/15/2025
Payment,000219,Closed,10/10/2025,10-2025,EXOTEC,"Exotec North America, Inc.",Uniqlo Project,2830935575TC,"16,749.65",USD,CHECKING,CHECK,10/13/2025
Payment,000218,Open,10/9/2025,10-2025,IBEACH,iBeach Holding Partners LLC,Payment for Westfield Collective PayApp 7-8,0816641282FF,"993,957.56",USD,CHECKING,CHECK,10/10/2025
Payment,000217,Closed,10/9/2025,10-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp004,2822346572TC,"658,880.42",USD,CHECKING,CHECK,10/10/2025
Payment,000216,Closed,10/7/2025,10-2025,VOORHEES,4927 Voorhees Rd FL Owner LLC,Aspire Ridge Haven,40019610,"26,391.20",USD,CHECKING,CHECK,10/8/2025
Payment,000212,Closed,10/3/2025,10-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0015 - Goodwill Bloomington PayApp007,2769249406TC,"262,341.60",USD,CHECKING,CHECK,10/6/2025
Payment,000215,Closed,10/2/2025,10-2025,ULTA,Ulta Inc.,RTU Modification - Ulta Dallas,40019610,"295,708.00",USD,CHECKING,CHECK,10/8/2025
Credit Memo,000457,Closed,9/30/2025,09-2025,ROYALVEN,Royal Ventures LLC,PayApp3 - Royal Theatre Apartments,,"12,623.83",USD,,,2/19/2026
Credit Memo,000386,Closed,9/30/2025,09-2025,ANDRUS,Andrus Development Group,PayApp3 - The Roebling Homes,,"2,221.11",USD,,,10/6/2025
Payment,000211,Closed,9/26/2025,09-2025,RADIAL,"Radial, Inc",,2693670998TC,"176,939.10",USD,CHECKING,CHECK,9/29/2025
Payment,000214,Closed,9/25/2025,09-2025,ANDRUS,Andrus Development Group,PayApp3 - The Roebling Homes,Check 2001,823.86,USD,CHECKING,CHECK,10/6/2025
Voided Payment,000213,Closed,9/25/2025,09-2025,ANDRUS,Andrus Development Group,PayApp3 - The Roebling Homes,2001,--823.86,USD,CHECKING,CHECK,10/6/2025
Payment,000213,Voided,9/25/2025,09-2025,ANDRUS,Andrus Development Group,PayApp3 - The Roebling Homes,2001,823.86,USD,CHECKING,CHECK,10/6/2025
Payment,000210,Closed,9/25/2025,09-2025,APPLIED,"Applied Engineering Services, Inc.",PayApp3 -  Applied Engineering,18453,"84,962.85",USD,CHECKING,CHECK,9/26/2025
Payment,000209,Closed,9/22/2025,09-2025,CORAMDEO,Coram Deo Academy,Coram Deo Academy PayApp3,5533,"50,000.00",USD,CHECKING,CHECK,9/23/2025
Payment,000208,Closed,9/22/2025,09-2025,CORAMDEO,Coram Deo Academy,Coram Deo Academy PayApp3,5534,"35,500.50",USD,CHECKING,CHECK,9/23/2025
Payment,000207,Closed,9/17/2025,09-2025,IBEACH,iBeach Holding Partners LLC,"Payment received from IBEACH HOLDING PARTNERS, LLC WESTFIELD",0510541260FF,"2,171,588.33",USD,CHECKING,CHECK,9/18/2025
Payment,000206,Closed,9/15/2025,09-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp003,2586439266TC,"521,636.16",USD,CHECKING,CHECK,9/16/2025
Payment,000205,Closed,9/8/2025,09-2025,RADIAL,"Radial, Inc",Pyament for July Invoices,2515680606TC,"1,374,730.21",USD,CHECKING,CHECK,9/9/2025
Payment,000204,Closed,9/5/2025,09-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-3601-0004 - Goodwill Foundations - July Billing,2487395562TC,"36,215.00",USD,CHECKING,CHECK,9/8/2025
Payment,000203,Closed,9/4/2025,09-2025,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 010, 2475755125TC,"44,188.88",USD,CHECKING,CHECK,9/5/2025
Payment,000202,Closed,9/3/2025,09-2025,ANDRUS,Andrus Development Group,PayApp2 - The Roebling Homes,2000,"14,998.40",USD,CHECKING,CHECK,9/4/2025
Payment,000201,Closed,9/3/2025,09-2025,NIEMANN,"Niemann Holdings, LLC",Payment for PayApp1-3,2830,"464,059.73",USD,CHECKING,CHECK,9/4/2025
Payment,000200,Closed,9/2/2025,09-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",004 - Goodwill Foundations,2459007845TC,"12,965.71",USD,CHECKING,CHECK,9/3/2025
Payment,000199,Closed,9/2/2025,09-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",003 - Goodwill Foundations - July Billing, 2459007815TC;2459007813TC,"139,515.70",USD,CHECKING,CHECK,9/3/2025
Payment,000198,Closed,9/2/2025,09-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0011 - Goodwill Bloomington PayApp006,2459007808TC,"290,293.70",USD,CHECKING,CHECK,9/3/2025
Credit Memo,000375,Closed,8/31/2025,08-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp004,,"658,880.42",USD,,,9/8/2025
Credit Memo,000372,Closed,8/31/2025,08-2025,IBEACH,iBeach Holding Partners LLC,Pay App 007 - Westfield Collective,,"573,388.38",USD,,,9/4/2025
Credit Memo,000359,Closed,8/27/2025,08-2025,IBEACH,iBeach Holding Partners LLC,Payapp4 - Westfield Collective,,"88,668.43",USD,,,8/27/2025
Credit Memo,000366,Closed,8/25/2025,08-2025,GPC,NAPA AUTO PARTS,PayApp1 GPC Hai Robotic,,"197,239.40",USD,,,8/28/2025
Payment,000197,Closed,8/25/2025,08-2025,ROYALVEN,Royal Ventures LLC,PayApp1 - Royal Theatre Apartments,Check 5112,"48,811.82",USD,CHECKING,CHECK,8/26/2025
Payment,000196,Closed,8/25/2025,08-2025,VOORHEES,4927 Voorhees Rd FL Owner LLC,,Check 2090,"64,001.18",USD,CHECKING,CHECK,8/26/2025
Payment,000195,Closed,8/15/2025,08-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",001 - Goodwill Decatur - July Billing,2275820947TC,"46,459.00",USD,CHECKING,CHECK,8/18/2025
Payment,000194,Closed,8/13/2025,08-2025,APPLIED,"Applied Engineering Services, Inc.",PayApp2 -  Applied Engineering,Check 18390,"149,987.75",USD,CHECKING,CHECK,8/14/2025
Payment,000193,Closed,8/8/2025,08-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp002,2207393050TC,"101,750.40",USD,CHECKING,CHECK,8/12/2025
Payment,000192,Closed,8/6/2025,08-2025,ANDRUS,Andrus Development Group,PayApp1 - The Roebling Homes,Check 1330,"15,481.35",USD,CHECKING,CHECK,8/8/2025
Payment,000191,Closed,8/6/2025,08-2025,CORAMDEO,Coram Deo Academy,Coram Deo Academy PayApp1,Check 5485,"29,632.22",USD,CHECKING,CHECK,8/7/2025
Credit Memo,000353,Closed,7/31/2025,07-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp003,,"552,158.48",USD,,,8/25/2025
Credit Memo,000352,Closed,7/31/2025,07-2025,RADIAL,"Radial, Inc",Radial Brownsburg Indy,,"171,511.12",USD,,,8/14/2025
Payment,000190,Closed,7/31/2025,07-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",002 - Goodwill Foundations - June Billing,2123142599TC,"74,432.00",USD,CHECKING,CHECK,8/1/2025
Payment,000189,Closed,7/31/2025,07-2025,RADIAL,"Radial, Inc",PayApp1 - Radial Avon PO #4500060234,2123051839TC,"717,885.70",USD,CHECKING,CHECK,8/1/2025
Payment,000188,Closed,7/31/2025,07-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0009 - Goodwill Bloomington PayApp005,2123142582TC,"835,001.38",USD,CHECKING,CHECK,8/1/2025
Payment,000187,Closed,7/30/2025,07-2025,VARGO,"Vargo, LLC",Ulta Dallas Retrofit Pay App 009,2115118373TC,"151,083.97",USD,CHECKING,CHECK,7/31/2025
Payment,000186,Closed,7/30/2025,07-2025,ZION,"Zion Solutions Group, LLC",Permits - Zion Arkansas,2115078332TC,"7,999.00",USD,CHECKING,CHECK,7/31/2025
Payment,000185,Closed,7/29/2025,07-2025,DAHLEMFISH,"Dahlem Fishers, LLC",HIRO SPACE SPLIT,ID NUMBER 930706,"19,249.00",USD,CHECKING,CHECK,7/30/2025
Payment,000184,Closed,7/22/2025,07-2025,COASTAL,Coastal Cantina LLC,Coastal Cantina Work,2039536110TC,"14,437.00",USD,CHECKING,CHECK,7/23/2025
Payment,000183,Closed,7/22/2025,07-2025,APPLIED,"Applied Engineering Services, Inc.",PayApp1 -  Applied Engineering,150031,"141,290.63",USD,CHECKING,CHECK,7/23/2025
Payment,000182,Closed,6/27/2025,06-2025,CART.COM,"Cart.com, Inc",Pay 005 - Cart Cold Storage - Guard shack contingency work,1782242629TC,"13,997.55",USD,CHECKING,CHECK,6/30/2025
Payment,000181,Closed,6/27/2025,06-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",RI-2603-0009 - Goodwill Bloomington,1788282012TC,"611,535.70",USD,CHECKING,CHECK,6/30/2025
Payment,000180,Closed,6/20/2025,06-2025,UNIQLO,Uniqlo USA LLC,Uniqlo Phillipsburg NJ - PayApp001,1455343312,"155,390.40",USD,CHECKING,CHECK,6/20/2025
Payment,000179,Closed,6/18/2025,06-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",Pay 006 - Goodwill Bart,1691553259TC,"237,582.78",USD,CHECKING,CHECK,6/19/2025
Payment,000178,Closed,6/18/2025,06-2025,GOODWILL,"Goodwill Industries of Central Indiana, Llc",001 - Goodwill Foundations,1693218517TC,"42,215.00",USD,CHECKING,CHECK,6/19/2025
Payment,000177,Closed,6/16/2025,06-2025,JAMDPR,JAM'D Propert Group LLC,Used Turf Install,1671960682TC,"18,976.79",USD,CHECKING,CHECK,6/17/2025
Payment,000176,Closed,6/11/2025,06-2025,CEVA,"CEVA Logistics U.S., Inc.",PO 25448292,1629877061TC,"270,783.50",USD,CHECKING,CHECK,6/13/2025
