documentId,annotationId,annotationNumber,status,authorName,replyCount,lastUpdatedIso,preview
/876/drawings,1a0DUtk1euScGVnz5MuC,4,Open,Brandon Clymer,0,2026-07-01T02:25:47.785Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} the export should have a PDF and CSV option, it should also be formated correctly. See screen shot for refrence."
/876/drawings,LG62Ha62EFyDMxB3FMsA,3,Open,Brandon Clymer,0,2026-07-01T02:22:56.745Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} when I click QR code it pulls one up and then when I scan it with my phone it just takes me to this login page, it should take me right to that drawing I would think."
/876/drawings,LmLM6phOhzEqVl8tU3Ne,2,Open,Brandon Clymer,0,2026-07-01T02:18:59.170Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} I should be able to cloud something and the option to link and other function shows up, just like how procore drawing function does. See screen shot."
/876/drawings,aPzIAcEIGaqrPb9mmcmK,1,Open,Brandon Clymer,0,2026-07-01T02:16:27.972Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} When I open a drawing I should be able to zoom in and out by using the roller thing on the mouse. Take a look at how procore does there drawing function, should match that."
/876/directory,iJoMz4IXUXVRJzMocwU3,1,Open,Brandon Clymer,0,2026-07-01T02:01:22.633Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} this should be add a person, not add a contact. you should be able to click a button that says add from company directory. Refrence Procore how they have there's set up."
/876/meetings,JfQUY0T3HEps5ODvPkek,1,Open,Brandon Clymer,0,2026-07-01T01:58:17.659Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} when I click into a meeting it just routes me to company meetings, so its the same list of meetings. But we need them to be in the specifc job. See my other meetings comment."
/meetings,aK6DWzznWIon2QPpj4ND,1,Open,Brandon Clymer,0,2026-07-01T01:56:39.616Z,"Where is the create meeting? The entire point of this is to be able to create meetings and agendas/notes for those meetings. Like a weekly OAC meeting, you can see how Procore has there meetings thing set up. This is just copying everything from fireflies which isn't the point. {{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}}"
/tasks,41wpmVm29fiFluo8za3o,2,Open,Brandon Clymer,0,2026-07-01T01:46:56.645Z,"{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} Should be able to filter by job and person so if I wanted to look at what was in someone's court I could, or look at what is overdue etc."
/tasks,XMMk2Xv90rRRGs35vBhT,1,Open,Brandon Clymer,0,2026-07-01T01:42:37.209Z,{{1854b4b0-3e8e-4d69-86df-32cdb3c80ee0}} For the up arrow you should have the ability to say why it is good so you can provide context for the AI.
/754/schedule,LkkGgOQwXpF4W2DbJ4Y6,1,Open,Megan Harrison,0,2026-06-29T17:40:16.008Z,Ability to make changes in the field directly to the schedule
